"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"MYO1C",6.07964,7.034948,9.9434,9.17394,9.75327,1.89245,13.79712,12.3238,5.76706,12.60628,5.58754,4.099147,2.293779
"MYO1E",10.96864,26.26558,8.435908,15.21342,27.62081,21.0846,16.75918,16.54304,12.48747,9.820533,9.870242,5.88719,18.08697
"MYO1G",155.0925,181.0375,164.7795,154.0897,137.1037,132.5719,140.477,174.9871,156.7023,147.905,177.7992,175.1133,112.2578
"MYSM1",19.7713,10.02743,13.73604,17.68075,22.08282,14.83541,20.44754,27.8683,27.47507,22.22861,22.45542,18.82174,21.30719
"MZB1",24.15827,16.70495,21.44952,20.07913,65.0677,23.44157,66.73411,21.36716,41.87712,57.33592,54.38676,15.66567,40.23958
"N4BP1",5.376429,7.30115,15.60385,18.78511,16.75869,14.18205,7.989286,11.44826,13.74983,15.15889,13.73615,13.04582,8.58632
"N4BP2L2",280.0355,228.0195,287.0959,271.6513,290.512,230.652,204.3202,254.372,210.8404,216.0152,188.9423,159.716,191.8704
"N4BP3",0.277263,0.327826,0.453963,0.772322,0.296115,0.946622,0.360472,0.84404,0.905442,0.83348,0.469223,0.184304,0.179654
"NAIP",34.37844,76.14303,43.58751,76.34079,61.78586,54.72006,43.16083,55.52556,32.89857,41.29795,34.87293,57.48262,50.30644
"NBEAL2",14.64689,11.76282,12.04072,20.50786,7.924911,9.626045,11.27768,11.32909,20.75082,23.84779,19.5828,19.75546,6.892895
"NBL1",0.59937,1.383894,0,0.572016,0,0,0.938265,0,0.504237,0.141303,0.3701883,0.724855,0.499246
"NBN",49.1851,35.02262,41.5,60.18735,42.02984,58.64002,53.29298,54.22835,31.92199,35.52512,42.05941,43.00383,59.35324
"NCAPG2",3.617481,5.206116,7.563377,4.147973,10.19652,6.391371,4.946083,6.33061,2.87986,5.09205,8.312994,2.017445,5.712915
"NCAPH2",34.48298,25.66523,30.6787,39.76473,41.93663,28.01765,27.69764,37.54669,39.37689,30.07934,35.43832,33.48536,41.21598
"NCF1",303.5073,485.3054,397.0507,390.0449,284.4216,282.4157,533.9189,388.9146,336.8673,440.4148,354.5013,359.1889,296.6403
"NCF2",272.9668,459.3655,382.0482,425.6262,301.5587,345.9566,317.8911,342.9044,309.3759,382.8967,348.2812,377.2862,333.1976
"NCK1",63.64594,55.76609,61.67247,66.23729,67.10214,50.14989,60.10711,60.12754,60.39344,54.7554,62.79477,44.11886,49.17208
"NCK2",13.58906,10.88035,23.7609,16.76243,18.3963,17.29518,7.610917,11.94552,19.27987,18.05444,10.36299,12.67821,16.04115
"NCKAP1L",152.7362,180.0329,106.8188,151.4193,149.9144,146.8397,142.281,173.7384,127.7599,131.9907,168.8673,132.2921,146.4728
"NCOA6",8.094561,10.87471,8.700812,16.3414,6.65454,10.25214,7.682827,12.26775,7.867828,9.165033,10.49348,5.982172,7.478513
"NCR1",23.34468,2.83882,11.42424,7.58772,11.86573,9.733462,10.45415,11.62633,11.69128,23.21712,14.53775,4.36506,8.58955
"NCR3",25.36209,10.16536,26.3584,35.71468,46.81267,26.30389,33.36233,40.44493,48.51769,51.11746,31.54528,22.29544,38.91251
"NCR3LG1",0.7373786,0.2376216,0.0138,1.37162,0.251135,0.526906,0.353282,0.593534,1.08248,0.261814,0.74395,0.587837,0.583105
"NCSTN",126.5707,187.8835,168.0197,243.4588,194.2182,159.101,121.6276,108.1463,111.5822,123.7075,137.0411,157.1188,163.3039
