"from","to","strength","direction"
"DDX1","F2RL1",0.88,0.807083333333333
"DDX21","PTAFR",0.72,0.573333333333333
"DDX21","STX4",0.73,0.628333333333333
"DDX58","CD177",0.76,0.7725
"DHX36","STX4",0.82,0.758333333333333
"HLA-E","PTAFR",0.87,0.76
"ITGB2","STAP1",0.84,0.7475
"BCR","HIPK1",0.75,0.77375
"CDK5RAP3","ZFP36L2",0.7,0.6625
"GATA1","LYL1",0.7,0.744166666666667
"GATA2","HOXB3",0.78,0.74625
"GATA2","MEIS1",0.7,0.697083333333333
"HOXB3","HOXB4",0.78,0.713333333333333
"CBFB","ZBTB7B",0.72,0.620833333333333
"CD274","IRF1",0.79,0.555416666666667
"CD274","RUNX3",0.78,0.648333333333333
"CTSH","GRN",0.74,0.915833333333333
"ENPP2","PRKD1",0.71,0.9
"GCH1","HSP90AA1",0.7,0.627083333333333
"CCL5","S1PR1",0.74,0.763333333333333
"EDN1","GJA1",0.77,0.686666666666667
"ELANE","JUN",0.7,0.859166666666667
"FOXP1","HMOX1",0.74,0.872083333333334
"ARRB2","SELENOS",0.78,0.816666666666667
"CTNNB1","FKBP1A",0.77,0.770833333333333
"IGF1","TRIM6",0.77,0.928333333333333
"LFNG","MYC",0.83,0.798333333333333
"TRIM21","DTX3L",0.8,0.676666666666667
"BAX","XBP1",0.74,0.71625
"IL19","NFE2L2",0.76,0.749166666666667
"PTPN2","SRC",0.72,0.853333333333333
"CASP1","H2BC11",0.79,0.766666666666667
"CASP4","SPPL2A",0.78,0.770416666666667
"HSPA1A","SPHK1",0.82,0.7025
"IKBKB","PTPN2",0.75,0.7875
"IKBKB","SPPL2B",0.89,0.87
"PPIA","PYCARD",0.71,0.773333333333333
"TCIRG1","IL6",0.76,0.514166666666666
"CHUK","IRF3",0.72,0.75125
"DDX58","IRF7",0.92,0.740833333333333
"TBK1","TLR3",0.78,0.768333333333333
"ADORA2B","CRLF2",0.77,0.856666666666667
"GAB2","NECTIN2",0.72,0.7725
"GATA2","IL4R",0.71,0.956666666666667
"HAVCR1","IL13",0.87,0.83375
"SYK","VAMP7",0.73,0.540416666666667
"CSK","TFRC",0.75,0.661666666666667
"HAMP","TNFRSF11A",0.74,0.8175
"P2RX7","TF",0.74,0.779166666666667
"CD36","P2RX4",0.72,0.7425
"ADAM17","PLCG2",0.76,0.919166666666667
"CD40LG","FASLG",0.86,0.94875
"DAB2IP","PDPK1",0.72,0.760833333333333
"IL10","NFE2L2",0.83,0.879166666666667
"DDX3X","NR1H2",0.72,0.915
"LCP1","MSN",0.8,0.905833333333333
"ADIPOQ","ITGB1",0.8,0.871666666666667
"APOA1","CXADR",0.86,0.91375
"CD2","SKAP1",0.97,0.8825
"IL1B","IL1RN",0.78,0.847083333333333
"ITGB7","MBP",0.85,0.885
"ITGB7","NINJ1",0.75,0.884166666666667
"ADAM8","FADD",0.74,0.819166666666667
"AGER","PDGFD",0.73,0.7
"CCR2","FADD",0.71,0.768333333333333
"CCR2","ICAM1",0.74,0.635
"CD47","RIPOR2",0.72,0.519166666666667
"JAM3","PDGFD",0.81,0.565833333333333
"JAM3","PTAFR",0.72,0.760833333333333
"C4BPA","CD55",0.75,0.73875
"CD46","LTA",0.7,0.792916666666667
"CD55","TREM2",0.72,0.832083333333334
"CR1L","HPX",0.71,0.708333333333333
"CR2","FCGR2B",0.77,0.71625
"FCGR2B","PTPN6",0.71,0.6575
"TNF","LTA",0.7,0.51
"C3AR1","IL34",0.84,0.799583333333333
"CXCL17","MAPK1",0.71,0.71625
"CXCL17","SLAMF1",0.75,0.696666666666667
"IL34","THBS1",0.72,0.873333333333333
"MSTN","SLAMF1",0.78,0.83
"ATM","BLK",0.82,0.790416666666667
"ATM","PKN1",0.72,0.691666666666667
"BTK","PAWR",0.7,0.732083333333333
"CD300A","MNDA",0.8,0.835
"IL10","TNFRSF21",0.8,0.822083333333333
"INPP5D","TYROBP",0.73,0.72
"TNFRSF13B","FCGR2B",0.76,0.55875
"ATM","YY1",0.79,0.645833333333333
"BCL11B","HMGB1",0.84,0.929166666666667
"BCL11B","HMGB2",0.76,0.819166666666667
"CYREN","NHEJ1",0.86,0.643333333333333
"DCAF1","PRKDC",0.72,0.600416666666667
"DCAF1","RAG1",0.71,0.6725
"LIG4","XRCC4",0.73,0.675833333333333
"POLB","PRKDC",0.71,0.80125
"TCF3","HMGB1",0.77,0.539166666666667
"TCF7","YY1",0.74,0.786666666666667
"CAV1","RFTN1",0.71,0.815833333333333
"F2RL1","TIRAP",0.79,0.825
"HAVCR2","UNC93B1",0.74,0.519166666666667
"HAVCR2","WDFY1",0.8,0.734166666666667
"OAS1","SCIMP",0.75,0.667083333333333
"TNFAIP3","UNC93B1",0.77,0.742083333333333
"ANXA2","ATP6AP1",0.82,0.910833333333333
"CLDN18","PAFAH1B1",0.78,0.824166666666667
"FAM20C","NOTCH2",0.78,0.7475
"FAM20C","SIGLEC15",0.75,0.648333333333333
"FOXP1","SLC9B2",0.82,0.72
"LRRK1","SIGLEC15",0.71,0.730416666666667
"LTF","FBXW7",0.85,0.575833333333333
"ACE","ADAM15",0.71,0.88125
"CDKN1A","LFNG",0.71,0.803333333333333
"ACOD1","BANF1",0.76,0.83
"CYLD","IL10",0.73,0.98375
"CYLD","PYCARD",0.8,0.92625
"NMI","REL",0.71,0.649166666666667
"CD24","MPO",0.77,0.77
"CD55","CYBC1",0.73,0.81125
"CLEC7A","NCF2",0.73,0.546666666666667
"CYBB","GRN",0.72,0.649166666666667
"DUSP10","IGHA1",0.71,0.737916666666667
"IGHA2","JCHAIN",0.78,0.52125
"PIK3CG","RPS19",0.78,0.530833333333333
"RAC2","SELENOK",0.76,0.591666666666667
"BCL10","CITED2",0.7,0.965
"ACTR2","IGF1R",0.73,0.811666666666667
"APLF","ERCC2",0.7,0.955
"PARP9","PML",0.9,0.95
"IL1R1","IL1R2",0.77,0.944583333333333
"IL1R1","ZNF675",0.72,0.75875
"IL1RL2","IL6",0.74,0.894166666666667
"MIR27A","MYD88",0.76,0.835833333333333
"MIR27A","PLCB1",0.7,0.594583333333333
"DUSP1","HRG",0.89,0.8925
"GPR18","CYP19A1",0.73,0.59
"ADGRB1","XKR8",0.73,0.79
"C2","MARCO",0.7,0.794166666666667
"CCR2","JMJD6",0.88,0.750833333333333
"RAC1","RARA",0.78,0.835
"CCR7","HFE",0.7,0.751666666666667
"CD68","FGL2",0.88,0.87375
"FCGR2B","HLA-DOB",0.72,0.5475
"HLA-DOA","LILRB2",0.85,0.5775
"HLA-DOB","HLA-DOA",0.76,0.72125
"TAPBPL","CD74",0.72,0.6925
"HAVCR2","KLRC1",0.71,0.639166666666667
"HLA-A","SERPINB9",0.73,0.5775
"HLA-E","SERPINB9",0.78,0.604166666666667
"AHR","IL12A",0.71,0.785416666666667
"CD274","IL4I1",0.76,0.850833333333333
"HMGB1","HSPD1",0.81,0.595416666666667
"ARG2","IL17RA",0.71,0.792916666666667
"IL17RA","IRF4",0.76,0.684166666666667
"IL18","IRF4",0.7,0.8675
"IL1RAP","TNFRSF21",0.85,0.72
"LEF1","IRF4",0.7,0.6125
"BATF","IL4",0.81,0.68125
"BATF","RBPJ",0.75,0.62875
"BATF2","RBPJ",0.73,0.622083333333333
"BATF2","UBD",0.72,0.662083333333333
"BATF3","TGFBR2",0.76,0.79125
"RBPJ","DHRS2",0.71,0.569166666666667
"CCL5","CCL4",0.72,0.75625
"CCR2","OXSR1",0.74,0.709166666666667
"CCL3","MMP8",0.76,0.875
"CST7","IL6",0.72,0.644166666666667
"CX3CL1","STAP1",0.77,0.82875
"GRN","MMP8",0.7,0.776666666666667
"LDLR","SPHK1",0.78,0.614166666666667
"SYT11","PTPRC",0.76,0.518333333333333
"CD74","FNIP1",0.82,0.790833333333333
"FNIP1","IL10",0.72,0.699583333333333
"CTNNB1","HSPA1A",0.72,0.685
"IL1A","SCG2",0.7,0.95
"DAPK1","NECTIN2",0.72,0.7175
"HAVCR2","IL4I1",0.75,0.794166666666667
"SLC22A13","HRG",0.7,0.68
"C1QA","LDLR",0.7,0.614583333333333
"IFNGR1","NR1D1",0.76,0.68375
"IL1B","LDLR",0.8,0.8575
"CD19","CD22",0.79,0.83375
"CD19","STAP1",0.75,0.596666666666667
"CD81","GCSAM",0.88,0.7975
"CMTM3","GPS2",0.76,0.630833333333333
"FCGR2B","GCSAML",0.72,0.549583333333333
"FOXP1","PRKCH",0.72,0.527916666666667
"GCSAML","STAP1",0.78,0.595
"LPXN","PTPN22",0.79,0.741666666666667
"SLC39A10","GCSAM",0.71,0.720416666666667
"CCR2","IRAK1",0.76,0.718333333333333
"CHST4","FUT7",0.7,0.81375
"CHST4","ITGA4",0.82,0.836666666666667
"MDK","PTAFR",0.71,0.665833333333333
"SELP","RELA",0.72,0.612083333333333
"ILDR2","RAF1",0.71,0.755833333333333
"CYP19A1","HOXA5",0.81,0.9025
"IRS2","RTN4",0.87,0.9375
"SCRIB","TNFRSF11A",0.7,0.8375
"CCL15","CX3CL1",0.71,0.657916666666667
"CCL16","CORO1A",0.71,0.701666666666667
"COLEC10","PGF",0.79,0.873333333333333
"CXCL8","IL16",0.73,0.77
"F7","VEGFB",0.76,0.8725
"GPNMB","HMGB2",0.83,0.834166666666667
"DTX3L","TRIM21",0.83,0.7275
"FYN","GLMN",0.78,0.901666666666667
"N4BP1","OTUD4",0.75,0.883333333333333
"IL6","RIPK2",0.7,0.835833333333333
"OSM","TFRC",0.77,0.509166666666667
"BATF","TBX21",0.7,0.558333333333333
"IL6","IL6R",0.84,0.78125
"IL6","IRF4",0.81,0.6675
"STAT6","SLAMF6",0.7,0.573333333333333
"ADORA2B","CCL5",0.92,0.9425
"CCL5","TNF",0.72,0.55
"IL10","TNFAIP3",0.76,0.78
"LTA","S100A9",0.76,0.833333333333333
"LTA","TNF",0.85,0.648333333333333
"TNF","TNFAIP3",0.72,0.8125
"TNFAIP3","THBS1",0.77,0.836666666666667
"IDO1","RSAD2",0.7,0.740416666666667
"IL4R","TNFSF4",0.76,0.58875
"PRKCZ","CD81",0.71,0.58875
"TNFSF4","RSAD2",0.74,0.610416666666667
"CUEDC2","PLCG2",0.79,0.735833333333333
"GPRC5B","IRAK3",0.76,0.621666666666667
"HLA-G","PLCG2",0.73,0.8575
"IRAK3","LILRB1",0.7,0.737916666666667
"LAPTM5","LILRB1",0.7,0.795833333333333
"SEMA7A","TGFB1",0.85,0.6
"ERAP1","TAP2",0.71,0.7
"HLA-G","HLA-H",0.7,0.592916666666667
"NOD2","PIK3AP1",0.74,0.632083333333333
"PIK3AP1","TLR1",0.9,0.89
"TREM2","TNFAIP3",0.77,0.888333333333333
"FGL2","HLA-DRA",0.79,0.689166666666667
"IL23R","TNFRSF14",0.88,0.752083333333333
"CEBPG","JUN",0.78,0.7975
"MAD2L2","POU4F1",0.81,0.814166666666667
"CALCOCO2","WASF2",0.74,0.535
"DHX36","G3BP2",0.7,0.935833333333333
"GPER1","MFHAS1",0.73,0.9375
"GPX1","HSP90AB1",0.71,0.675
"ARRB2","HCLS1",0.7,0.865
"BAX","BLK",0.73,0.71125
"BLK","LYN",0.86,0.6025
"IL10","TP53",0.86,0.715833333333333
"PIK3CB","ZC3H8",0.71,0.841666666666667
"PIK3CD","CD274",0.77,0.535833333333333
"PIK3CD","SIRT1",0.72,0.583333333333333
"NBN","SLC39A3",0.72,0.898333333333333
"RBPJ","SIN3A",0.74,0.836666666666667
"CDKN1A","FTH1",0.73,0.84
"EREG","SOD2",0.81,0.9575
"LTA","ZMPSTE24",0.86,0.7675
"CDK6","EIF2B4",0.84,0.7175
"LRP1","PLEC",0.73,0.714166666666667
"ANXA3","CD177",0.79,0.897916666666667
"DNASE1L3","FCER1G",0.7,0.765833333333333
"SPI1","TYROBP",0.82,0.601666666666667
"STXBP2","LILRA2",0.75,0.641666666666667
"FCRL3","PTPN22",0.77,0.757916666666667
"GRAMD4","RTN4",0.71,0.665833333333333
"HAVCR2","TLR9",0.78,0.632083333333333
"LILRA4","PTPRS",0.77,0.506666666666667
"SLC15A4","TNIP2",0.9,0.660833333333333
"ARG1","SLAMF1",0.73,0.640416666666667
"ARID5A","SLAMF1",0.8,0.72375
"DENND1B","SLAMF1",0.78,0.646666666666667
"TBX21","RSAD2",0.75,0.824583333333333
"HAVCR2","LGALS9",0.7,0.624583333333333
"FADD","IKBKE",0.7,0.954166666666667
"IRF7","ZBP1",0.7,0.779166666666667
"IRF7","TRIM6",0.75,0.940833333333333
"NLRC5","USP27X",0.79,0.645
"NLRC5","ZBP1",0.91,0.665416666666667
"TRIM41","UBE2K",0.77,0.735416666666667
"TRIM56","WNT5A",0.74,0.725833333333333
"C4B","NLRC4",0.76,0.92
"CD1D","TLR6",0.7,0.72125
"CLEC7A","NAIP",0.77,0.75
"HLA-A","HLA-B",0.94,0.81875
"LY96","TLR2",0.71,0.614166666666667
"NOD1","PGLYRP2",0.71,0.5225
"TLR1","TLR4",0.71,0.660833333333333
"AMBRA1","PTK2B",0.78,0.787916666666667
"CCR7","FPR2",0.73,0.8275
"CCR7","KIT",0.7,0.774166666666667
"CXCR4","DHX36",0.7,0.904166666666667
"ADAM17","ADIPOQ",0.74,0.825833333333333
"ADAM17","PIK3CB",0.76,0.841666666666667
"HCAR2","SELENOS",0.86,0.715416666666667
"IL6","NOD2",0.78,0.802916666666667
"IRF3","MAEA",0.87,0.84625
"IRF3","MIF",0.71,0.804583333333333
"FLOT1","PQBP1",0.76,0.822083333333333
"BMP4","ZFP36L1",0.75,0.745416666666667
"DLG1","OPRK1",0.72,0.718333333333333
"EZR","PRMT1",0.75,0.734583333333333
"MAP3K7","PHLPP1",0.7,0.867083333333333
"CAMP","DEFA1B",0.78,0.885
"CCL5","EIF2AK4",0.79,0.9075
"CCL8","APOL1",0.74,0.514583333333333
"IFI27","MYD88",0.7,0.815
"FBXO7","OPTN",0.8,0.833333333333333
"HMGB1","SNX4",0.7,0.755
"PLK2","STING1",0.73,0.82
"RIPK2","ZC3H12A",0.7,0.555833333333333
"PPP3CA","SNX4",0.8,0.825833333333333
"EIF2B1","PPP3CA",0.86,0.905
"APOA1","GPLD1",0.7,0.895
"NR1H2","NR4A3",0.73,0.695
"HMGB1","PPP3CA",0.75,0.9025
"AIMP1","REST",0.7,0.595833333333333
"IRS2","SLC15A4",0.8,0.779166666666667
"CTNNB1","HES1",0.73,0.966666666666667
"CTSH","SMPD3",0.7,0.802916666666667
"TGFBR2","THRA",0.71,0.795
"ANXA1","HCAR2",0.7,0.869166666666667
"ANXA1","ITPKB",0.73,0.7575
"ANXA1","PIK3CD",0.79,0.720416666666667
"AXL","HMGB1",0.71,0.772083333333333
"CCR2","PDE4B",0.87,0.728333333333333
"JAM3","MPL",0.79,0.799166666666667
"PIK3CB","SH2B3",0.72,0.6525
"PIK3CD","SLC7A11",0.79,0.7525
"SH2B3","PIK3CD",0.7,0.576666666666667
"DDX1","DDX58",0.82,0.712916666666667
"DDX1","TICAM1",0.7,0.765833333333333
"DDX21","DHX36",0.71,0.645833333333333
"DDX58","SCIMP",0.79,0.688333333333333
"PLCG2","TLR3",0.71,0.585833333333333
"SCIMP","TLR4",0.7,0.84125
"AICDA","PMS2P1",0.86,0.7275
"MCM3AP","POLL",0.87,0.745
"MSH2","POLL",0.77,0.500833333333333
"POLB","POLL",0.82,0.57125
"UNG","MSH6",0.75,0.514583333333333
"BCL6","C4BPA",0.72,0.729166666666667
"BCL6","CD55",0.76,0.792083333333333
"CR1L","NDFIP1",0.71,0.588333333333333
"NDFIP1","THOC1",0.85,0.6775
"C4BPB","FOXJ1",0.71,0.749166666666667
"BCL10","RELA",0.71,0.809166666666667
"CARD11","CD81",0.7,0.760833333333333
"NECTIN2","PRKD2",0.74,0.629166666666667
"RAB29","TRAT1",0.74,0.595
"ERBIN","HSPA1A",0.91,0.8575
"ERBIN","OTULIN",0.7,0.840833333333333
"HSPA1A","HSPA1B",0.79,0.560416666666667
"HSPA1A","INAVA",0.83,0.550833333333333
"IRGM","RIPK2",0.75,0.840833333333334
"NFKBIA","OTULIN",0.78,0.775
"NFKBIA","RIPK2",0.73,0.749166666666667
"ASXL1","GLI2",0.75,0.954166666666667
"ADIPOQ","CMKLR1",0.71,0.76
"FOXO3","RGCC",0.71,0.697083333333333
"HIPK1","ITGA4",0.74,0.755
"CSF1R","PPARGC1B",0.75,0.747916666666667
"IL6","TNFRSF11A",0.72,0.933333333333333
"CARD8","LY86",0.7,0.735
"CD180","CD55",0.71,0.765833333333333
"CD36","LILRA2",0.8,0.853333333333333
"CD55","TNFAIP3",0.87,0.803333333333333
"CD55","TRIB1",0.74,0.77875
"NFKBIL1","PRKCA",0.71,0.525
"CASP3","CNN2",0.74,0.88
"IFI16","PIK3R1",0.71,0.7475
"MAP2K4","N4BP1",0.73,0.874166666666667
"METTL3","TNFSF14",0.78,0.636666666666667
"SMPD1","ZMPSTE24",0.76,0.838333333333333
"ZBTB1","CDKN1A",0.71,0.724166666666667
"CXCL10","PML",0.73,0.9775
"EFNB2","GATA3",0.72,0.865833333333333
"ADORA1","SLC7A5",0.73,0.7825
"ANXA2","SMPD1",0.72,0.836666666666667
"ARRB2","PPP3CA",0.72,0.856666666666667
"IL4","TREM2",0.71,0.854166666666667
"CD19","FGR",0.7,0.712916666666667
"CD19","RB1",0.7,0.919583333333333
"IFI35","NMI",0.88,0.915
"PLCG2","TYROBP",0.81,0.74
"SYK","TREX1",0.71,0.63
"TICAM1","TREM2",0.73,0.676666666666667
"IL1B","IL23A",0.76,0.679166666666667
"IL27RA","RIPK2",0.72,0.599166666666667
"PLA2G4A","SLC11A1",0.73,0.689166666666666
"SLAMF1","SLC11A1",0.82,0.693333333333333
"H4C1","H4C11",0.77,0.872083333333334
"PF4","PRMT1",0.81,0.705
"CXCR5","FADD",0.73,0.630833333333333
"FADD","IL7R",0.79,0.690833333333333
"FADD","TGFB1",0.7,0.518333333333333
"IL7R","TRAF3IP2",0.72,0.618333333333333
"LTA","RC3H1",0.8,0.685833333333333
"PDPN","SPNS2",0.94,0.7925
"FLOT1","TLR3",0.76,0.776666666666667
"MAVS","ZCCHC3",0.72,0.79125
"IL12RB1","ZBTB7B",0.73,0.72375
"IL23R","RC3H1",0.71,0.72625
"NFKBID","ZBTB7B",0.76,0.742083333333333
"SMAD7","ZBTB7B",0.73,0.610833333333333
"HLA-DMA","HLA-DPB1",0.71,0.622083333333333
"CALR","HLA-DQA1",0.73,0.75
"HLA-DOA","HLA-DRA",0.72,0.898333333333333
"ARHGEF2","PTPN22",0.83,0.765
"ERBIN","VIM",0.81,0.720833333333333
"INAVA","NLRP1",0.87,0.857083333333333
"IRF5","VIM",0.72,0.71125
"MAPK14","RIPK2",0.79,0.6225
"NFKBIA","TRIM41",0.72,0.817916666666667
"NLRP1","NOTCH1",0.85,0.758333333333333
"AXL","IFNAR1",0.82,0.819583333333333
"GAS6","GATA3",0.81,0.89375
"IFIT3","IFITM3",0.87,0.930833333333333
"IFNAR1","RO60",0.95,0.7725
"CNOT7","YTHDF2",0.86,0.764166666666667
"DCST1","NLRC5",0.73,0.767916666666667
"METTL3","TTLL12",0.72,0.70875
"METTL3","YTHDF3",0.71,0.79
"YTHDF2","OAS3",0.79,0.795833333333333
"YTHDF2","PTPN2",0.7,0.540416666666667
"AIF1","CX3CR1",0.72,0.735833333333333
"CCL5","CXCL10",0.73,0.893333333333333
"CXCL17","FPR2",0.79,0.662916666666667
"HMGB1","LGMN",0.73,0.581666666666667
"HMGB1","SERPINE1",0.7,0.628333333333333
"NOD2","TLR1",0.71,0.811666666666667
"NOD2","TLR2",0.72,0.735833333333333
"ANXA3","DEFA3",0.73,0.836666666666667
"DEFA3","DEFA1B",0.8,0.636666666666667
"CD1D","LY96",0.72,0.767916666666667
"PGLYRP2","PTPRJ",0.74,0.574583333333333
"KLF4","PTAFR",0.78,0.740416666666667
"KLF4","ST3GAL4",0.7,0.671666666666667
"NRARP","IL12A",0.7,0.578333333333333
"CITED2","ZYX",0.77,0.796666666666667
"ADAMTS13","FASN",0.84,0.864166666666667
"CORO1A","IL4R",0.71,0.67625
"HSP90AB1","IL2RG",0.95,0.96625
"JAK3","SHPK",0.89,0.8425
"PARP14","PML",0.87,0.940833333333333
"SHPK","IMPDH2",0.78,0.519166666666667
"XBP1","XCL1",0.78,0.770833333333333
"CEBPD","ZBTB7A",0.76,0.908333333333333
"APOE","PDGFRA",0.75,0.876666666666667
"CEACAM1","CTSG",0.75,0.812083333333333
"CEACAM1","HRG",0.7,0.832083333333333
"IL6","PRKCD",0.7,0.8325
"CASP8","OPTN",0.84,0.875
"ZC3H12A","TRIM39",0.7,0.634166666666667
"CXCR4","PDE4D",0.82,0.8725
"HES1","IL13",0.7,0.983333333333333
"DEFA1","NOD2",0.81,0.91125
"H2BC11","H2BC21",0.75,0.809166666666667
"H2BC6","IL4",0.7,0.739166666666667
"H2BC8","RPL39",0.77,0.792083333333333
"ADIPOQ","KITLG",0.81,0.7125
"MIF","CCR5",0.75,0.59
"BMP4","PDPK1",0.74,0.666666666666667
"AKT1","TRIM28",0.77,0.698333333333333
"CITED2","GATA2",0.7,0.768333333333333
"IFI16","STING1",0.79,0.799583333333333
"IFITM3","OAS1",0.74,0.77
"IFITM3","STAT1",0.7,0.87875
"IKBKE","SHFL",0.81,0.91625
"MNDA","TLR3",0.74,0.8375
"PYHIN1","TLR3",0.7,0.792916666666667
"PYHIN1","TREX1",0.77,0.75875
"ACTG1","CCL28",0.77,0.918333333333333
"ADAM15","APOD",0.8,0.925
"BCL2","DAPK3",0.71,0.866666666666666
"ICOS","LILRB4",0.76,0.620833333333333
"IDO1","TGFBR2",0.75,0.5625
"ITCH","HLA-G",0.76,0.64
"MCM3AP","SAMHD1",0.74,0.605
"MSH6","UNG",0.8,0.5375
"POLL","MSH2",0.82,0.51875
"ADIPOQ","LEF1",0.87,0.86625
"C1QC","CEACAM1",0.72,0.735
"CUL4A","IL5",0.76,0.69
"HCLS1","TRIB1",0.76,0.668333333333333
"LEF1","HAX1",0.75,0.503333333333333
"RARA","ZBTB46",0.71,0.502083333333333
"ZBTB46","INPP5D",0.77,0.671666666666667
"ANXA1","BATF",0.89,0.83
"BCL3","RARA",0.75,0.6975
"BCL6","GATA3",0.7,0.791666666666667
"CD86","GATA3",0.73,0.771666666666667
"CD86","NLRP3",0.73,0.864166666666667
"GATA3","NLRP3",0.7,0.6625
"IL18","NLRP3",0.83,0.8675
"IL4R","RARA",0.7,0.70875
"NLRP3","PRKCZ",0.74,0.500833333333333
"ATAD5","MLH1",0.77,0.698333333333333
"CD40","IL27RA",0.77,0.83875
"CD40","NDFIP1",0.7,0.779166666666667
"FOXP3","MLH1",0.92,0.74625
"HSPD1","IL2",0.75,0.795416666666667
"HSPD1","NDFIP1",0.72,0.842916666666667
"PTPRC","TBX21",0.76,0.725416666666667
"APOD","KLRC4-KLRK1",0.75,0.848333333333333
"CCL2","WASL",0.82,0.845833333333333
"CD200","MIA3",0.85,0.81125
"IL27RA","WASL",0.84,0.689583333333333
"MIA3","RIPOR2",0.9,0.6
"IGF1R","RARA",0.73,0.685
"CXCR4","NR1H2",0.91,0.933333333333333
"IL4R","RB1",0.83,0.924166666666667
"SQSTM1","SYK",0.89,0.925
"TRPV1","WNT10B",0.83,0.8425
"CD19","FKBP1B",0.75,0.844166666666667
"ABL1","HIPK2",0.74,0.605416666666667
"BAD","BAG6",0.76,0.853333333333333
"CDKN1A","SKIL",0.76,0.770416666666667
"CRIP1","EPHA2",0.74,0.735416666666667
"EPX","HRH1",0.77,0.573333333333333
"HRAS","SIGLEC10",0.82,0.721666666666667
"BMP4","SRF",0.71,0.674166666666667
"FOXO3","TGFB2",0.71,0.89
"GATA3","YY1",0.74,0.695833333333333
"NR1H2","IL10",0.84,0.7375
"ARRB2","SERPINE1",0.7,0.5175
"GATA3","JAK2",0.74,0.8075
"MED1","PIP4K2A",0.73,0.759166666666667
"PIP4K2A","WASF2",0.93,0.7175
"AKAP1","ZDHHC11",0.78,0.846666666666667
"ATAD3A","RNF135",0.91,0.890833333333333
"CARD8","RNF135",0.79,0.827916666666667
"CLPB","ZDHHC1",0.76,0.9275
"CXCL10","IFIT1",0.76,0.73375
"MARCHF2","SENP7",0.7,0.595833333333333
"NLRP1","ZDHHC11",0.74,0.713333333333333
"PHB2","SENP7",0.85,0.555833333333333
"C1QBP","C4BPA",0.77,0.789583333333333
"C3","CD55",0.83,0.87
"CD46","SERPING1",0.72,0.759166666666667
"CR1L","SERPING1",0.7,0.647083333333333
"CR1L","SUSD4",0.81,0.725833333333333
"TREM2","CD55",0.73,0.523333333333333
"KMT2A","WRNIP1",0.75,0.94
"ADAM8","FFAR2",0.8,0.66375
"ELANE","FFAR2",0.79,0.849166666666667
"FUT7","NINJ1",0.9,0.9125
"JAM3","SLAMF8",0.73,0.805833333333333
"MDK","S100A9",0.77,0.770833333333333
"NINJ1","SLAMF1",0.73,0.5525
"S100A8","SLAMF8",0.94,0.73625
"SELE","TNF",0.8,0.864166666666667
"TNF","FFAR2",0.72,0.555
"EPX","IFNL1",0.78,0.80875
"FOXP3","PDE4D",0.71,0.714583333333333
"GATA3","LILRB4",0.78,0.7225
"GATA3","PRKCZ",0.72,0.675416666666667
"IL1RL1","TNFRSF21",0.7,0.5825
"TNFRSF21","PDE4D",0.73,0.530416666666667
"TNFRSF21","IL1RL1",0.7,0.520833333333333
"CD19","PTK2B",0.76,0.93375
"CR1","HAVCR2",0.73,0.575
"EZR","PRNP",0.72,0.64
"EZR","PTPRC",0.78,0.759166666666667
"GBP1","ZFP36",0.71,0.841666666666667
"LAG3","TBX21",0.74,0.785833333333333
"TNFAIP3","ZFP36",0.89,0.8075
"APOA2","SEMA4D",0.83,0.839166666666667
"SOX9","TNF",0.71,0.906666666666667
"DAB2IP","TGFB1",0.71,0.757083333333333
"ABL1","FLT4",0.77,0.828333333333333
"ETS1","GATA3",0.75,0.865833333333333
"ETS1","PRKD2",0.72,0.6725
"CIITA","TRIM15",0.72,0.878333333333333
"FCN1","MID2",0.74,0.60125
"IFITM1","IFITM3",0.71,0.698333333333333
"CRK","ESRRA",0.73,0.8875
"CYSLTR2","MSTN",0.73,0.88
"GPER1","UMODL1",0.73,0.885833333333333
"ARRB2","RPS6KA3",0.7,0.740416666666667
"ARRB2","XIAP",0.8,0.6725
"CST7","TNF",0.71,0.9525
"THBS1","VEGFA",0.81,0.908333333333333
"MYO1E","SLIT2",0.72,0.823333333333333
"ANXA1","RBPJ",0.71,0.7925
"HES1","HOXA5",0.73,0.84375
"ADAM9","IL18BP",0.74,0.683333333333333
"PHB2","WNT2B",0.7,0.711666666666667
"CEBPB","LGMN",0.73,0.841666666666667
"IL6ST","PSEN1",0.85,0.695833333333333
"NTRK1","SIX4",0.71,0.87
"ELF4","STAT5B",0.72,0.771666666666667
"IL23A","LEP",0.71,0.722916666666667
"IL23R","ELF4",0.74,0.58625
"JAK2","STAT5B",0.85,0.836666666666667
"LEP","SLAMF1",0.84,0.7325
"BCL3","NFKB2",0.78,0.68875
"FOXJ1","MEF2C",0.8,0.615833333333333
"KLHL6","NFKB2",0.85,0.702083333333333
"MEF2C","RC3H1",0.89,0.775
"NFKB2","TNFAIP3",0.76,0.560833333333333
"AP3D1","B2M",0.83,0.6825
"AZGP1","TAP2",0.71,0.690833333333333
"B2M","HLA-E",0.78,0.7475
"CD1D","CD1C",0.74,0.61875
"HLA-F","CD1C",0.72,0.525
"CD300LF","IRF3",0.77,0.78125
"CD300LF","TICAM1",0.84,0.9425
"CD40","TLR6",0.79,0.873333333333333
"PRKCE","SARM1",0.77,0.823333333333333
"TICAM2","TLR4",0.78,0.834166666666667
"TICAM2","TNIP3",0.81,0.67125
