"from","to","strength","direction"
"STING1","TRIM21",0.73,0.515833333333333
"CLPTM1","ZFP36L2",0.86,0.835833333333333
"IL23R","PTPN2",0.71,0.89
"IL1B","PTX3",0.84,0.913333333333333
"JMJD6","RAB20",0.9,0.946666666666667
"ELANE","MPO",0.91,0.878333333333334
"PPBP","SELP",0.7,0.856666666666667
"ALPK1","COLEC12",0.72,0.875833333333333
"NFKBIA","TNF",0.7,0.92
"RTN4","SLC15A4",0.73,0.875833333333333
"ATP5IF1","KIT",0.75,0.8325
"GPI","PTBP3",0.71,0.881666666666667
"BCL10","TICAM1",0.73,0.7575
"CD22","RIF1",0.73,0.931666666666667
"ATF2","NCKAP1L",0.79,0.8525
"EOMES","XCL1",0.79,0.791666666666667
"NKAP","ZNF683",0.7,0.801666666666667
"CCR7","CNR1",0.75,0.903333333333333
"ANXA1","ARRB2",0.74,0.931666666666667
"FER","SLAMF1",0.76,0.89
"HLA-E","SELENOS",0.72,0.804166666666667
"ISG15","OAS3",0.83,0.9675
"ACIN1","HCLS1",0.74,0.8525
"CD83","FADD",0.79,0.8825
"ADAM8","TESPA1",0.7,0.751666666666667
"ACE","IFNG",0.7,0.9775
"IFI35","USP18",0.8,0.609166666666667
"DHX36","ZBTB1",0.7,0.798333333333333
"IL1B","NLRP3",0.73,0.726666666666667
"LTA","PTAFR",0.7,0.814166666666667
"CSF2RB","IGFBP2",0.72,0.863333333333333
"BMP6","CASP8",0.73,0.925833333333333
"GATA1","PF4V1",0.76,0.909166666666667
"TNFAIP3","RIPK2",0.71,0.5975
"CDKN1A","SELENOK",0.75,0.556666666666667
"IL1A","IL1B",0.75,0.8275
"GPR183","SELENOK",0.73,0.561666666666667
"CCL20","IL1A",0.7,1
"HSPA1A","HIF1A",0.75,0.529166666666667
"FASLG","MYC",0.8,0.880833333333333
"HCK","LILRA2",0.75,0.755
"ABCB10","MFHAS1",0.75,0.755
"ACIN1","HSPA1A",0.76,0.723333333333333
"ALAS2","KLF1",0.76,0.935833333333333
"CD55","FADD",0.76,0.800833333333333
"IL10","NRARP",0.81,0.821666666666667
"AKT1","NCKAP1L",0.76,0.828333333333333
"CBLB","TRPV4",0.71,0.7775
"PLG","PTPN2",0.71,0.655833333333333
"C17orf99","SLAMF8",0.81,0.899166666666667
"CD79A","FCGR2B",0.76,0.814166666666667
"IL6","TCIRG1",0.78,0.8425
"CLEC4G","LILRB1",0.71,0.766666666666667
"CCL3","CCL4",0.82,1
"TNFSF14","XCL2",0.71,0.879166666666667
"CCL15","GBF1",0.75,0.735
"SAA1","TGFB2",0.71,0.975
"AKT1","ITGA4",0.72,0.856666666666667
"C5AR1","SELENOK",0.83,0.701666666666667
"CXCL17","ST6GAL1",0.7,0.7775
"IL10","PDE4B",0.71,0.595
"HSPA9","OSM",0.76,0.94
"METTL3","RBM47",0.79,0.821666666666667
"CD46","PTPRC",0.71,0.804166666666667
"IL7R","TGFBR2",0.71,0.818333333333333
"CD300A","TRDC",0.76,0.864166666666667
"CD83","ZC3H12A",0.76,0.565
"STAT6","ITK",0.71,0.586666666666667
"DDX3X","GFI1",0.87,0.92
"IFI35","RSAD2",0.91,0.710833333333334
"OAS1","NMI",0.79,0.518333333333333
"PARP14","SERPING1",0.72,0.755
"NLRP3","RIPK2",0.72,0.733333333333333
"FADD","ZC3H12A",0.78,0.643333333333333
"HLA-DPA1","HLA-DPB1",0.75,0.94
"CD1E","MYO1G",0.7,0.835833333333333
"HLA-B","HLA-H",0.7,0.835833333333333
"MALT1","TRAF2",0.7,0.94
"ADAM17","MSN",0.74,0.954166666666667
"ITGB7","XCL1",0.83,0.935833333333333
"ASS1","CCL15",0.74,0.92125
"GBP1","GBP2",0.74,0.925833333333333
"NR1H2","STX4",0.74,0.748333333333333
"CXCL10","CXCL11",0.71,0.921666666666667
"TNFAIP3","CXCL8",0.83,0.559166666666667
"AP3B1","CD1B",0.86,0.895
"CD1A","WAS",0.74,0.764166666666667
"CD68","CTSS",0.98,0.9575
"HLA-DOB","RAB3C",0.71,0.6125
"LGMN","PDIA3",0.87,0.860833333333333
"RAB5B","SAR1B",0.91,0.889166666666667
"DDX1","SLC7A5",0.71,0.758333333333333
"IL1R1","NR4A3",0.7,0.56
"CD83","TNFAIP3",0.87,0.8775
"AGER","DNASE1L3",0.71,0.840416666666667
"CD59","IL21",0.76,0.879166666666667
"IL23R","SPN",0.73,0.810833333333333
"CTSG","MRGPRX2",0.84,0.913333333333333
"F2","SPON2",0.83,0.775833333333333
"SNAP23","STXBP2",0.77,0.8125
"AZU1","ELANE",0.75,0.7875
"NOTCH1","SEMA3C",0.73,0.8225
"ERBIN","PUM2",0.76,0.805
"NINJ1","PELI1",0.7,0.875833333333333
"CEBPB","MYC",0.87,0.795833333333334
"FBN1","KLF10",0.71,0.881666666666667
"HLA-DRB1","PIAS3",0.81,0.726666666666667
"EFNB1","IL12B",0.75,0.8525
"GLI2","PIK3R6",0.79,0.93375
"IL2","PCK1",0.7,0.728333333333333
"AKT1","PRKD2",0.75,0.681666666666667
"ANXA3","LTF",0.71,0.8625
"DDX58","OAS1",0.81,0.620833333333333
"FOXP1","PTPN11",0.83,0.903333333333333
"HLA-E","SPN",0.7,0.718333333333333
"LTF","MMP8",0.7,0.9475
"C1QA","C1QB",0.85,0.924166666666667
"IGHD","IGHV1-69",0.72,0.929166666666667
"IGHV3-38","IGHV3-66",0.7,0.710833333333333
"ATM","TRPV1",0.76,0.786666666666667
"CTSC","CX3CR1",0.77,0.895
"C1QB","C1QC",0.7,0.8825
"BCL3","JAK3",0.71,0.945
"NFKBID","TP53",0.77,0.9375
"ZC3H12A","ICAM1",0.73,0.553333333333333
"CTNNB1","DDX21",0.83,0.885
"GAPDH","HMOX1",0.74,0.9075
"STAT1","TNFSF10",0.75,0.899166666666667
"ANGPT1","CD84",0.74,0.905416666666667
"ANXA1","CTNNB1",0.72,0.865
"ADAM10","CYBA",0.7,0.789166666666667
"ADAM17","BIRC2",0.77,0.95
"SPHK1","HES1",0.84,0.741666666666667
"ABL1","KMT5B",0.75,0.903333333333333
"GAL","MAD1L1",0.72,0.885833333333333
"GRN","PRAM1",0.79,0.8325
"NR4A3","STX4",0.81,0.858333333333333
"PYCARD","TYROBP",0.7,0.77
"FADD","ICAM1",0.7,0.749166666666667
"HLA-H","STAP1",0.71,0.78
"IL10","PELI1",0.7,0.7275
"CAMLG","PPP2R3C",0.77,0.810833333333333
"DNAJA3","RC3H2",0.8,0.793333333333333
"HIF1A","PMAIP1",0.77,0.738333333333333
"FCGR1A","PARP14",0.83,0.948333333333333
"CD28","EXO1",0.7,0.919583333333333
"LEF1","TCF7",0.7,0.8175
"ADAM17","TNK2",0.77,0.791666666666667
"FAXDC2","GATA1",0.7,0.890833333333333
"HIF1A","HSPA1A",0.76,0.565
"ISG15","STAT1",0.7,0.929166666666667
"APOA1","F2RL1",0.7,0.95
"CXCR4","FADD",0.73,0.790833333333333
"GPS2","LSM14A",0.74,0.880416666666667
"IL1R1","STING1",0.75,0.9525
"IL7","OTUD4",0.71,0.89
"HMGB1","RIPOR2",0.77,0.824583333333333
"CTNNB1","GPC3",0.77,0.938333333333333
"FBXW7","FOS",0.72,0.730833333333333
"FSTL3","GPR55",0.7,0.871666666666666
"IFIH1","TLR7",0.75,0.911666666666667
"INPP5D","SYK",0.72,0.748333333333333
"C1S","C8G",0.78,0.96125
"CCL3","NFKBIA",0.74,0.810833333333333
"IL12RB1","TSC1",0.83,0.91
"EGR3","JMJD6",0.86,0.920833333333333
"ARRB2","KIF5B",0.86,0.659166666666667
"CORO1A","PTPN6",0.73,0.798333333333333
"CRK","IL12B",0.71,0.8175
